dataset,input_total,in_scope_total,pass_aug_start_proxy_independent,after_aug_start_proxy,pass_in_frame_stop_independent,after_in_frame_stop,pass_annotated_transcript_independent,after_annotated_transcript,pass_length_ge_18nt_independent,after_length_ge_18nt,pass_expression_above_bg_proxy_independent,after_expression_above_bg_proxy,pass_active_translation_proxy_independent,after_active_translation_proxy,final_kept_records,fail_in_frame_stop,fail_annotated_transcript,fail_length_ge_18nt,fail_expression_above_bg_proxy,fail_active_translation_proxy,fail_aug_start_proxy
ribotish+gencode,245755,59402,59402,59402,53316,53316,59402,53316,59402,53316,59402,53316,59402,53316,53316,6086,0,0,0,0,0.0
unification+gencode,342100,67380,65102,65102,45522,45512,67380,45512,67380,45512,67380,45512,67380,45512,45512,21858,0,0,0,0,2278.0
